INFO 2015-09-28 21:02:48,584 writers 25993 -1261003888 starting zilberAddsFlows
INFO 2015-09-28 21:02:50,519 writers 25993 -1261003888 starting zilberBonusFlows
DEBUG 2015-09-28 21:02:50,520 writers 25993 -1261003888 {'base_madad': 127.3}
INFO 2015-09-28 21:02:50,520 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 8-2015
INFO 2015-09-28 21:02:50,827 writers 25993 -1261003888 starting to write bonus for sale #5650
WARNING 2015-09-28 21:02:50,862 writers 25993 -1261003888 sale #5650 has no commission details
INFO 2015-09-28 21:02:50,870 writers 25993 -1261003888 starting to write bonus for sale #5651
WARNING 2015-09-28 21:02:50,877 writers 25993 -1261003888 sale #5651 has no commission details
INFO 2015-09-28 21:02:50,884 writers 25993 -1261003888 starting to write bonus for sale #5652
WARNING 2015-09-28 21:02:50,891 writers 25993 -1261003888 sale #5652 has no commission details
INFO 2015-09-28 21:02:50,898 writers 25993 -1261003888 starting to write bonus for sale #5653
WARNING 2015-09-28 21:02:50,905 writers 25993 -1261003888 sale #5653 has no commission details
INFO 2015-09-28 21:02:50,913 writers 25993 -1261003888 starting to write bonus for sale #5654
WARNING 2015-09-28 21:02:50,920 writers 25993 -1261003888 sale #5654 has no commission details
INFO 2015-09-28 21:02:50,927 writers 25993 -1261003888 starting to write bonus for sale #5655
WARNING 2015-09-28 21:02:50,962 writers 25993 -1261003888 sale #5655 has no commission details
INFO 2015-09-28 21:02:50,970 writers 25993 -1261003888 starting to write bonus for sale #5656
WARNING 2015-09-28 21:02:50,976 writers 25993 -1261003888 sale #5656 has no commission details
INFO 2015-09-28 21:02:50,984 writers 25993 -1261003888 starting to write bonus for sale #5657
WARNING 2015-09-28 21:02:50,990 writers 25993 -1261003888 sale #5657 has no commission details
INFO 2015-09-28 21:02:50,998 writers 25993 -1261003888 starting to write bonus for sale #5658
WARNING 2015-09-28 21:02:51,004 writers 25993 -1261003888 sale #5658 has no commission details
INFO 2015-09-28 21:02:51,012 writers 25993 -1261003888 starting to write bonus for sale #5659
WARNING 2015-09-28 21:02:51,019 writers 25993 -1261003888 sale #5659 has no commission details
INFO 2015-09-28 21:02:51,029 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 7-2015
INFO 2015-09-28 21:02:51,299 writers 25993 -1261003888 starting to write bonus for sale #5572
INFO 2015-09-28 21:02:51,317 writers 25993 -1261003888 starting to write bonus for sale #5573
WARNING 2015-09-28 21:02:51,325 writers 25993 -1261003888 sale #5573 has no commission details
INFO 2015-09-28 21:02:51,360 writers 25993 -1261003888 starting to write bonus for sale #5574
WARNING 2015-09-28 21:02:51,367 writers 25993 -1261003888 sale #5574 has no commission details
